# Regenerated 2026-09-17 from the DXMT v0.80 macOS 15 lane.
# Paths are relative to Graphics/dll/dxmt.
# migration-skip: x86_64-unix/winemetal.so — the installer ad-hoc re-signs this member after extraction (codesign --force --sign -) and ad-hoc signatures are non-deterministic, so migration.c pins signature validity (codesign --verify --strict) instead of this archive hash.
path	sha256
i386-windows/d3d10core.dll	aa5139ecc9af95b01b23d403212fad12eff6f4e5453137c49f2996b2a0f7ec4c
i386-windows/d3d11.dll	0f3f340b1ccf56dfa87207d97998280e23c00ed948227c7f1770d95e38957582
i386-windows/dxgi.dll	b8770d4e8a6a17a6a1503056f51ac02f2db6bbfb281b2b7a0c9d5d5e2c381bc7
i386-windows/nvngx.dll	93d9ac54a57d2ebd0a20be550c0cb38c0a30311eb49eaa6f576569d97910c83b
i386-windows/winemetal.dll	5a9ed6c48ba9857d76984757d00d0e9319b9f8f91d62cd392ddd4232d787cfe5
x86_64-unix/winemetal.so	ad1eac52db9b68db62f73161911c6e04fbec122b85fa21b7752085371d32ec98
x86_64-windows/d3d10core.dll	572a68f6ddfb53e88e681a337a0ab74272a25b35c61b88b068235477592bef7b
x86_64-windows/d3d11.dll	be17605d3decfbf3ffb4bf69f744129774b9d769a4155e6fa8b3711a288f3455
x86_64-windows/dxgi.dll	fe0b8cece3d4b044513177c625b66b9528c070f7859a7d64ca0dc9c40d8e6ef9
x86_64-windows/nvapi64.dll	adacbff12fde35689f43fbfd8448e852517889bbb47bce171c4028b05d452e6d
x86_64-windows/nvngx.dll	19b12db9b7489216683eeb0e5a521e47c8f963623018b2c3d3a806999f82477f
x86_64-windows/winemetal.dll	a38e4c59360a592ab9861442f7dc29dd81653474d6fc524577816cb42a6fce86
